entity1,type1,entity2,type2
Melanne S. Verveer,Name,Global Women's Issues U.S. Department,Org
YouGov,Name,Labour,Org
YouGov,Name,Sunday Times,Org
Brown,Name,Labour,Org
Brown,Name,Labour,Org
Nick Cleggs,Name,Ulsters Democratic Unionist,Org
Bush,Name,National Cancer Advisory Board,Org
Lona Valmoro,Name,State,Org
Deborah Solomon,Name,New York Times Magazine,Org
Obama,Name,Shelbys,Org
Obama,Name,FBI,Org
Shelby,Name,FBI,Org
Amira Hass,Name,Haaretz,Org
Chomsky,Name,Reuters,Org
Chomsky,Name,interior ministry,Org
Robert Gates,Name,Defense,Org
Robert Gates,Name,Joint Chiefs of Staff,Org
Mike Mullen,Name,Defense,Org
Mike Mullen,Name,Joint Chiefs of Staff,Org
Chomsky,Name,Al Jazeera,Org
Barak,Name,UNGA,Org
Paul,Name,Sunlight Foundation,Org
David Koch,Name,National Cancer Advisory Board,Org
Glenn Beck,Name,Fox News,Org
Beck,Name,Tea Party,Org
Judy Miller,Name,NY Times,Org
Rush Limbaugh,Name,Democracy Corps,Org
Sam Bacile,Name,Wall Street Journal,Org
Barad< Obama,Name,Capitol,Org
Jr.,Name,B.U.,Org
James R. Stoner,Name,B.U.,Org
Woodrow Wilson,Name,Federal Reserve System,Org
Eikenberry,Name,State,Org
Crocker,Name,George Bush School of Government,Org
Stupak,Name,RedState.org,Org
Cheryl D,Name,Mills,Org
Obama,Name,Republican Party,Org
Jeannine,Name,Bloomberg,Org
Beck,Name,Fox News,Org
Skousen,Name,Becks,Org
Skousens Leap,Name,Amazon.com,Org
Dodds,Name,Freemens Digest,Org
David Koch,Name,Koch Industries,Org
Andrew Stear,Name,DFID,Org
Brawny,Name,Koch Industries,Org
Randy Neugebauer,Name,House,Org
Jackie Jacqueline Newmyer,Name,Long Term Strategy Group,Org
John Herbst,Name,State,Org
Josh Rogin,Name,CQ Staff House,Org
Palin,Name,Obamas,Org
Kayani,Name,ISI,Org
Kayani,Name,ISI,Org
Kayani,Name,Taliban,Org
Dick Dastardly,Name,ISI,Org
Vicki Kennedy,Name,General Lloyd Austin,Org
Clinton,Name,Argentinas,Org
Musharrafs,Name,ISI,Org
Cheryl,Name,Mills,Org
Pelosi,Name,IMF,Org
Pelosi,Name,IMF,Org
Brock,Name,Media Matters,Org
Steve Bing,Name,Democratic,Org
Peter B. Lewis,Name,Democratic,Org
Obama,Name,White House,Org
Stanley McChrystal,Name,Obamas,Org
Ron Faucheux,Name,Clarus,Org
Victoria Sidjabat,Name,Tempo Magazine,Org
Nora Toiv,Name,State Department Operations,Org
David Koch,Name,National Cancer Institute,Org
Reg Empey,Name,UUP,Org
Varmus,Name,Koch Industries,Org
David H. Koch,Name,Smithsonians National Museum of Natural History,Org
Anne-Marie Slaughter,Name,Policy Planning U.S. Department of State,Org
Obama,Name,State,Org
Miguel del Valle,Name,Tribune,Org
Udall,Name,House,Org
Levar,Name,Northwest Side,Org
Schumer,Name,Rules Committee,Org
Emanuel,Name,ABC News,Org
David Cameron,Name,UUP,Org
David Koch,Name,Republican Governors Association,Org
George Soros,Name,Open Society Institute,Org
McChrystal,Name,NATO,Org
Gus diZerega,Name,Kochs,Org
George Miller,Name,Reps. Barney Frank,Org
Daniel K. Inouye,Name,Senate Appropriations Committee,Org
Amano,Name,IAEA,Org
James P. Moran,Name,House,Org
Giles,Name,ACORN,Org
Mary Landrieu,Name,ACORN,Org
Cheryl,Name,Mills,Org
Miguel E. Rodriguez,Name,Senate Affairs Bureau of Legislative Affairs U.S. Department,Org
Miguel E. Rodriguez,Name,Bureau of Legislative Affairs U.S. Department of State,Org
Hillary Clinton,Name,State,Org
Tommy Franks,Name,U.S. Central Command,Org
Rohitha Bogollagama,Name,State Department,Org
Clinton,Name,United Nations Security Council,Org
Smith,Name,Commonwealth Office,Org
Obama,Name,White House,Org
Jacqueline Newmyer,Name,Long Term Strategy Group,Org
Matt Finkelstein,Name,Senate,Org
Mustafa Abdel Jalil,Name,Libyan National Transitional Council,Org
Mustafa Abdel Jalil,Name,NTC,Org
Ali Ansari,Name,Institute of Iranian Studies,Org
Ali Ansari,Name,Institute of Iranian Studies,Org
Ali Ansari,Name,Chatham House,Org
Ali Ansari,Name,University of St Andrews,Org
Ali Ansari,Name,University of St Andrews Preliminary Analysis,Org
Thomas Rintoul,Name,Chatham House,Org
Thomas Rintoul,Name,Islam and Democracy Research and Analysis,Org
Thomas Rintoul,Name,University of St Andrews,Org
Thomas Rintoul,Name,Institute of Iranian Studies,Org
Daniel Berman,Name,Chatham House,Org
Daniel Berman,Name,Islam and Democracy Research and Analysis,Org
Gianfranco Fini,Name,Fascist Party,Org
Gianfranco Fini,Name,Northern League,Org
Umberto Bossi,Name,Northern League,Org
Ho,Name,United Nations,Org
Parlak,Name,FBI,Org
Hillary Clinton,Name,State,Org
Parlak,Name,Justice Departments Immigration,Org
Brown,Name,St Andrews,Org
Brown,Name,Working Group,Org
CODEL Webb,Name,Aung San Suu Kyi High,Org
Cheryl,Name,NI Mills,Org
Viktor Orban,Name,Fidesz,Org
Carl Levin,Name,United Nations,Org
Carl Levin,Name,Senate Armed Services Committee,Org
Oszkar Molnar,Name,Fidesz,Org
Jobbik,Name,National Front,Org
Mirek Topolanek,Name,ODS Party,Org
R. Sherman Albright,Name,Stonebridge Group,Org
Wendy R. Sherman,Name,Stonebridge Group,Org
Boehner,Name,House,Org
Stupak,Name,US Conference of Catholic Bishops,Org
S. A/S Gordon,Name,PA,Org
Sullivan,Name,PA,Org
Ripley,Name,Smithsonian,Org
Baucus,Name,White House,Org
Janine Zacharia,Name,Bloomberg,Org
Janine Zacharia,Name,Boeing,Org
Jake,Name,Boeing,Org
Jackson,Name,CVC,Org
Eli Yishai,Name,Shas,Org
Baucus,Name,White House,Org
Susan E. Rice,Name,United Nations,Org
Harry Reid,Name,Senate,Org
Angel Gurria,Name,OECD,Org
Angel Gurria,Name,OECD,Org
Tom Daschle,Name,Senate,Org
Paul Volcker,Name,National Economic Council,Org
Chris,Name,Foreign Service,Org
Tom Hill,Name,AEA Investors,Org
Tom Hill,Name,Blackstone,Org
Matt Baggott,Name,Police Service,Org
Martin McGuinness,Name,Sinn Feins,Org
Obama,Name,Barney Frank,Org
Newt Gingrich,Name,Senate,Org
Newt Gingrich,Name,Facebook,Org
Newt Gingrich,Name,House,Org
Palin,Name,Facebook,Org
Charles Grassley,Name,House,Org
McAllister,Name,Southwest Regional Champs,Org
Liz Cheney,Name,CNN,Org
Brainard,Name,MIT Sloan School of Management,Org
Sheldon Solomon,Name,Skidmore College,Org
Jeff Greenberg,Name,University of Arizona,Org
Tom Pyszczynski,Name,University of Arizona,Org
Charles Koch,Name,Claude R. Lambe Charitable Foundation,Org
Freshour,Name,Missionaries of Charity,Org
Chuck Johnson,Name,National Council,Org
Willie Frazer,Name,Families Acting for Innocent Relatives,Org
McGuinness,Name,IRA,Org
Frazer,Name,Sinn Fein,Org
David Ford,Name,Alliance,Org
Frazer,Name,DUP,Org
Chernick,Name,Spencers Jihad Watch,Org
Helene Cooper,Name,ABC News,Org
Helene Cooper,Name,New York Times,Org
Helene Cooper,Name,L.A. Times,Org
Doyle McManus,Name,L.A. Times,Org
Jake Tapper,Name,L.A. Times,Org
Squier,Name,Tories,Org
Squier,Name,Dunn Communications,Org
Knapp,Name,Dunn Communications,Org
Barack Obama,Name,Democratic Party,Org
Fred,Name,M.I.T.,Org
Knapp,Name,Conservative,Org
Anne Kornblut,Name,White House,Org
Hillary Clinton,Name,State,Org
I.M. Pei,Name,Commerce,Org
I.M. Pei,Name,Energy,Org
Gary Locke,Name,Energy,Org
Jim Jones,Name,White House,Org
Cheryl,Name,Context Mills,Org
Meckfessel,Name,American Special Operations,Org
Melanne Verveer,Name,State,Org
Oren,Name,Intel,Org
David Petraeus,Name,Brigham Young,Org
Brownfield,Name,UNGA,Org
Brownfield,Name,MCC,Org
Obama,Name,US Special Forces,Org
Barack Obama,Name,Treasury for International Affairs,Org
Nero,Name,Senate,Org
Olympia,Name,Snowe Supports Senate,Org
Lona Valmoro,Name,State,Org
Bolkstein,Name,Royal Dutch Shell,Org
Douglas Nelson,Name,Labour Markets,Org
Douglas Nelson,Name,Elgar,Org
Ata Abu Madyam,Name,Negev News,Org
Woodrow Wilson,Name,Federal Reserve System,Org
Woodrow Wilson,Name,Colonel House,Org
Beck,Name,House,Org
Beck,Name,Federal Reserve,Org
Eustace Mullins,Name,Federal Reserve,Org
Sarah,Name,Mount Herzl,Org
Yoni,Name,IDF,Org
Larry Summers,Name,Rahm,Org
Richards,Name,Keefs Guitar Workshop,Org
Antonio,Name,John Birch Society,Org
Jeff Jacoby,Name,Boston Globe,Org
Philip Martin,Name,National Public Radio,Org
Cheryl,Name,Mills,Org
Hillary Clinton,Name,State,Org
Alan McFarland,Name,UUP,Org
Melanne,Name,GOSL,Org
Glenn Winuk,Name,DOJ,Org
Paterson,Name,White House,Org
Jay,Name,DOJ,Org
Gilead Shalit,Name,Hamas,Org
Patrick Cockburn,Name,London Independent,Org
Tony Blair,Name,VVJC,Org
Tony Blair,Name,Die Welt,Org
Tony Blair,Name,EU,Org
Jim Clyburn,Name,House,Org
Donna Brazile,Name,Congressional Black Caucus,Org
Diego Garcia,Name,CIA,Org
Reagan,Name,United States Institute of Peace Act,Org
Chris Stevens,Name,HRC,Org
David Goldwyn,Name,ECPA,Org
Robert Gibbs,Name,White House,Org
Manley,Name,White House,Org
Obama,Name,Congress,Org
MARK LANDLER,Name,New York Times Thu,Org
Holbrooke,Name,General Petraeus,Org
Mara Rudman,Name,Mitchell,Org
Bush,Name,White House,Org
Crocker,Name,George Bush School of Government,Org
Clinton,Name,State,Org
Clinton,Name,Quadrennial Diplomacy and Development Review,Org
Clinton,Name,State Department,Org
Clinton,Name,CNN,Org
Biden,Name,CNN,Org
Palin,Name,CNN,Org
Michael H. Fuchs,Name,U.S. Department of State,Org
Hillary Clintons,Name,CNN/Opinion Research Corporation,Org
Hillary Clintons,Name,State,Org
Matsunaga,Name,Commission,Org
Matsunaga,Name,Matsunaga Commission,Org
Deborah McCarthy,Name,Ta Nea,Org
Bush,Name,White House,Org
Holbrooke,Name,Taliban,Org
Netanyahu,Name,Sipa Press,Org
Netanyahu,Name,Obamas,Org
Gary Fabiano,Name,Obamas,Org
Reid,Name,Senate,Org
Caroline Adler,Name,PA,Org
Kris,Name,LLC Marty,Org
Arab,Name,HRC,Org
Obama,Name,White House,Org
Yanukovych,Name,UNGA,Org
Hillary Clinton,Name,State,Org
Clinton,Name,White House,Org
Hillary Clinton,Name,State,Org
Hillary Clinton,Name,State,Org
Dick Durbin,Name,Senate,Org
Clinton,Name,State,Org
Norman Augustine,Name,Amb,Org
Norman Augustine,Name,Lockheed Martin,Org
Empey,Name,State,Org
Obama,Name,Haaretz,Org
Nora Toiv,Name,State Department Operations,Org
Jibril,Name,INC,Org
Jibril,Name,UN Security Council,Org
Durbin,Name,White House,Org
Durbin,Name,NCO,Org
Melanne Verveer,Name,Global Womens,Org
Ros-Lehtinen,Name,House,Org
Ros-Lehtinen,Name,Foreign Affairs committee,Org
Ros-Lehtinen,Name,GOP,Org
Obama,Name,York Review of Books In the Bitter New,Org
Obama,Name,New York Review of Books In the Bitter,Org
Obama,Name,Review of Books In the Bitter New Washington,Org
Jalil,Name,TNC,Org
Lona Valmoro,Name,State,Org
Peter,Name,New Labour,Org
Peter,Name,New Labour,Org
Susan Rice,Name,United Nations,Org
Celso Amorim,Name,Xinhua,Org
Leslie H. Gelb,Name,New York Times,Org
Andrew J. Shapiro,Name,Political-Military Affairs Department,Org
Obama,Name,White House,Org
Lona Valmoro,Name,State,Org
Eldar,Name,New York Times,Org
Cheryl,Name,Mills,Org
Obama,Name,White House,Org
Gary Sick,Name,National Security Council,Org
Lugar,Name,USDA,Org
PAO,Name,Washington File,Org
Eldar,Name,Abba Eban,Org
Teddy Kollek,Name,Israel Radio,Org
Teddy Kollek,Name,Haaretz,Org
Eldar,Name,Haaretz,Org
Palgrave,Name,St Martins) Press,Org
Eldar,Name,Haaretz U.S. Bureau,Org
Lona Valmoro,Name,State,Org
Bush,Name,Facebook,Org
Khaled Meshal,Name,Hamas,Org
Esther,Name,UN Security Council Reform,Org
Peter,Name,Royal Mail,Org
Dee,Name,Senate,Org
Rivkin,Name,International Cooperation in Haiti Examples of Post,Org
ileana Ros-Lehtinen,Name,PS' Incoming House Foreign Affairs,Org
Andrea Mitchell,Name,MSNBC,Org
Holbrooke,Name,UN,Org
Lehtinen,Name,United Nations,Org
Cheryl,Name,Mills,Org
Hillary Clinton,Name,State,Org
Michael H. Fuchs,Name,U.S. Department of State,Org
Elise Labatt,Name,CNN,Org
VM Momoima,Name,North Carolina State University,Org
Lauren,Name,Jiloty,Org
Benjamin Netanyahu,Name,White House,Org
Clinton,Name,Barnard College,Org
Keating Holland,Name,GOP,Org
Keating Holland,Name,CNN,Org
Abbas,Name,Palestinian Authority,Org
Abbas,Name,Hamas,Org
Fayyad,Name,Hamas,Org
Sid raw Westen,Name,Emory University,Org
Jacob J;,Name,Mills,Org
Jim Steinberg,Name,HRC,Org
Reg Empey,Name,UUP,Org
Mary Robinson,Name,Global Leaders Council on Reproductive Health,Org
Cheryl,Name,Mills,Org
Cheryl,Name,Mills,Org
Max Baucus,Name,Senate Finance,Org
Palin,Name,White House,Org
Sean McCormack,Name,State Condoleezza Rices,Org
Karl Rove,Name,House,Org
Martin McGuinness,Name,Sinn Fein,Org
Martin McGuinness,Name,UUP,Org
John Boehner,Name,Republican,Org
Michal Kaminsky,Name,Polands Law and Justice Party,Org
McChrystal,Name,State Department,Org
Michelles,Name,Obamas,Org
Teddy Kollek,Name,Haaretz,Org
Hillary Clinton,Name,State,Org
Hillary Clinton,Name,Obama Administration,Org
Patricia Lynch,Name,Assembly,Org
Tina Browns,Name,Vanity Fair,Org
Tina Browns,Name,Washington Post,Org
Blumenthal,Name,Washington Post,Org
Robert Gates,Name,Defense,Org
Tony Blair,Name,Conservative Party,Org
Andrew Extnn,Name,Center for a New American Security,Org
Cheryl,Name,HRC,Org
Cheryl,Name,Mills,Org
Michele Flournoy,Name,Defense,Org
Karl Rove,Name,Congress,Org
Richard Holbrooke,Name,House of Representatives,Org
Bill Burns,Name,HRC,Org
Cameron,Name,US Congress,Org
Qadhafi,Name,UNSC,Org
Qadhafi,Name,HRC,Org
Gaddafi,Name,HRC,Org
David Miliband,Name,Labour,Org
David Miliband,Name,Labour,Org
Nancy Petosi,Name,House,Org
Bill Burton,Name,White House,Org
Netanyahu,Name,White House,Org
Hillary Rodham Clinton,Name,State,Org
Cheryl D,Name,Mills,Org
Clinton,Name,Barnard College,Org
Biden,Name,Congress,Org
Qadhafi,Name,NATO,Org
Abu Dhabi,Name,HRC,Org
Sylvia Hermon,Name,UUP,Org
Cameron,Name,Tory Party,Org
Gordon,Name,Labour,Org
Huma,Name,AGOA,Org
Crocker,Name,Texas A&M University,Org
Alfred,Name,Sipa,Org
Sam Brownback,Name,Appropriations Committee,Org
Hillary Rodham Clinton,Name,State,Org
Nita Lowey,Name,House Appropriations State,Org
Cheryl,Name,Mills,Org
Kitutu Chache,Name,National Development,Org
Sid Below,Name,Israeli TV News Channel Ten,Org
Petraeus,Name,Princeton,Org
Eikenberry,Name,Princeton,Org
Cheryl,Name,Mills,Org
Robinson,Name,McG,Org
Robinson,Name,McG,Org
Reid,Name,Senate,Org
Melanne S. Verveer,Name,Global Women's Issues U.S. Department,Org
Obama,Name,State Canton,Org
